vns_iter,evento,l,iter_interna,fp,tmax,pen_cap,pen_jan,pen_tsk,tempo_s
2,melhoria,1,50,947.1479,916.5182,0.0,0.0,0.0,1.474
2,melhoria,2,52,947.1275,916.5182,0.0,0.0,0.0,1.769
2,melhoria,1,53,947.0317,916.5182,0.0,0.0,0.0,1.977
2,melhoria,2,55,946.9946,916.5182,0.0,0.0,0.0,2.284
2,melhoria,2,57,946.5514,916.1269,0.0,0.0,0.0,2.564
2,melhoria,1,58,946.5514,916.1269,0.0,0.0,0.0,2.602
2,melhoria,2,60,946.5135,916.1269,0.0,0.0,0.0,2.852
2,melhoria,1,61,946.4946,915.7538,0.0,0.0,0.0,3.061
2,melhoria,1,62,946.4701,915.7538,0.0,0.0,0.0,3.258
2,melhoria,2,64,946.4662,915.7538,0.0,0.0,0.0,3.498
2,melhoria,2,66,946.2129,915.4407,0.0,0.0,0.0,3.744
2,melhoria,1,67,946.1973,915.4407,0.0,0.0,0.0,3.846
2,melhoria,1,68,946.1827,915.4407,0.0,0.0,0.0,3.975
2,melhoria,2,70,946.1749,915.4407,0.0,0.0,0.0,4.221
2,melhoria,2,72,946.1732,915.4407,0.0,0.0,0.0,4.459
2,melhoria,2,74,946.1064,915.4407,0.0,0.0,0.0,4.688
2,melhoria,2,76,946.0942,915.4407,0.0,0.0,0.0,4.928
2,melhoria,2,78,946.0816,915.4407,0.0,0.0,0.0,5.17
2,melhoria,2,80,946.0757,915.4407,0.0,0.0,0.0,5.413
2,melhoria,1,81,946.0755,915.4407,0.0,0.0,0.0,5.613
2,melhoria,2,83,945.7981,915.1903,0.0,0.0,0.0,5.858
2,melhoria,2,85,945.7963,915.1903,0.0,0.0,0.0,6.111
2,melhoria,2,87,945.6839,914.9899,0.0,0.0,0.0,6.35
2,melhoria,1,88,945.6695,914.9899,0.0,0.0,0.0,6.473
2,melhoria,2,90,945.3885,914.6768,0.0,0.0,0.0,6.721
2,melhoria,2,92,945.3532,914.6768,0.0,0.0,0.0,6.971
2,melhoria,2,94,945.336,914.6768,0.0,0.0,0.0,7.231
2,melhoria,2,96,945.3358,914.6768,0.0,0.0,0.0,7.47
2,melhoria,2,98,945.3274,914.6768,0.0,0.0,0.0,7.739
2,melhoria,2,100,945.3195,914.6768,0.0,0.0,0.0,7.997
2,timeout,2,101,945.3195,914.6768,0.0,0.0,0.0,8.234
2,saida,0,101,945.3195,914.6768,0.0,0.0,0.0,8.234
3,entrada,0,0,608.6492,579.7341,0.0,0.0,0.0,0.0
3,melhoria,1,1,608.5739,580.1071,0.0,0.0,0.0,0.003
3,melhoria,1,2,602.4068,574.0,0.0,0.0,0.0,0.007
3,melhoria,1,3,602.2562,574.0,0.0,0.0,0.0,0.01
3,melhoria,1,4,601.957,574.0,0.0,0.0,0.0,0.013
3,melhoria,1,5,601.807,574.0,0.0,0.0,0.0,0.017
3,melhoria,1,6,601.657,574.0,0.0,0.0,0.0,0.019
3,melhoria,1,7,601.5051,574.0,0.0,0.0,0.0,0.029
3,melhoria,1,8,601.272,574.0,0.0,0.0,0.0,0.029
3,melhoria,1,9,600.7885,574.0,0.0,0.0,0.0,0.031
3,melhoria,1,10,600.7404,574.0,0.0,0.0,0.0,0.048
3,melhoria,1,11,600.4405,574.0,0.0,0.0,0.0,0.119
3,melhoria,1,12,600.357,574.0,0.0,0.0,0.0,0.257
3,melhoria,1,13,547.4562,521.1835,0.0,0.0,0.0,0.323
