vns_iter,evento,l,iter_interna,fp,tmax,pen_cap,pen_jan,pen_tsk,tempo_s
0,entrada,0,0,1442.0172,1375.6165,0.0,0.0,0.0,0.0
0,melhoria,1,1,1441.9936,1375.6165,0.0,0.0,0.0,0.001
0,melhoria,1,2,1441.9701,1375.6165,0.0,0.0,0.0,0.008
0,melhoria,1,3,1441.8604,1375.6165,0.0,0.0,0.0,0.01
0,melhoria,1,4,1441.7511,1375.6165,0.0,0.0,0.0,0.025
0,melhoria,1,5,1441.7089,1375.6165,0.0,0.0,0.0,0.031
0,melhoria,1,6,1441.7069,1375.5908,0.0,0.0,0.0,0.033
0,melhoria,1,7,1441.6831,1375.5908,0.0,0.0,0.0,0.044
0,melhoria,1,8,1441.6599,1375.5908,0.0,0.0,0.0,0.066
0,melhoria,1,9,1441.5743,1375.5908,0.0,0.0,0.0,0.068
0,melhoria,1,10,1441.5306,1375.5908,0.0,0.0,0.0,0.076
0,melhoria,1,11,1440.3708,1375.5908,0.0,0.0,0.0,0.077
0,melhoria,1,12,1440.3045,1375.5908,0.0,0.0,0.0,0.094
0,melhoria,1,13,1440.238,1375.5908,0.0,0.0,0.0,0.098
0,melhoria,1,14,1440.1947,1375.5908,0.0,0.0,0.0,0.121
0,melhoria,1,15,1440.1091,1375.5908,0.0,0.0,0.0,0.134
0,melhoria,1,16,1440.092,1375.6165,0.0,0.0,0.0,0.139
0,melhoria,1,17,1440.0677,1375.6165,0.0,0.0,0.0,0.143
0,melhoria,1,18,1440.0676,1375.6165,0.0,0.0,0.0,0.174
0,melhoria,1,19,1440.0247,1375.6165,0.0,0.0,0.0,0.181
0,melhoria,1,20,1439.9818,1375.6165,0.0,0.0,0.0,0.22
0,melhoria,1,21,1437.8307,1375.6165,0.0,0.0,0.0,0.26
0,melhoria,1,22,1436.3176,1375.6165,0.0,0.0,0.0,0.321
0,melhoria,1,23,1436.2317,1375.6165,0.0,0.0,0.0,0.334
0,melhoria,1,24,1435.6634,1375.6165,0.0,0.0,0.0,0.365
0,melhoria,1,25,1435.6396,1375.6165,0.0,0.0,0.0,0.383
0,melhoria,1,26,1435.092,1375.6165,0.0,0.0,0.0,0.384
0,melhoria,1,27,1434.8677,1375.6165,0.0,0.0,0.0,0.402
0,melhoria,1,28,1434.595,1375.6165,0.0,0.0,0.0,0.438
0,melhoria,1,29,1433.5699,1375.6165,0.0,0.0,0.0,0.483
0,melhoria,1,30,1432.8827,1375.6165,0.0,0.0,0.0,0.498
0,melhoria,1,31,1431.7358,1375.6165,0.0,0.0,0.0,0.5
0,melhoria,1,32,1431.2372,1375.6165,0.0,0.0,0.0,0.546
0,melhoria,1,33,1430.9783,1375.6165,0.0,0.0,0.0,0.566
0,melhoria,1,34,1430.1737,1375.6165,0.0,0.0,0.0,0.568
0,melhoria,1,35,1430.1579,1375.6165,0.0,0.0,0.0,0.571
0,melhoria,1,36,1429.3628,1375.6165,0.0,0.0,0.0,0.6
0,melhoria,1,37,1428.9577,1375.6165,0.0,0.0,0.0,0.639
0,melhoria,1,38,1428.7291,1375.6165,0.0,0.0,0.0,0.642
0,melhoria,1,39,1428.4714,1375.6165,0.0,0.0,0.0,0.661
0,melhoria,1,40,1428.0596,1375.6165,0.0,0.0,0.0,0.666
0,melhoria,1,41,1427.2194,1375.6165,0.0,0.0,0.0,0.702
0,melhoria,1,42,1427.0969,1375.6165,0.0,0.0,0.0,0.715
0,melhoria,1,43,1425.4346,1375.6165,0.0,0.0,0.0,0.716
0,melhoria,1,44,1425.254,1375.6165,0.0,0.0,0.0,0.743
0,melhoria,1,45,1425.1972,1375.6165,0.0,0.0,0.0,0.76
0,melhoria,1,46,1425.1949,1375.6165,0.0,0.0,0.0,0.836
0,melhoria,1,47,1425.1433,1375.3273,0.0,0.0,0.0,0.844
0,melhoria,1,48,1424.8981,1374.9538,0.0,0.0,0.0,0.845
0,melhoria,1,49,1424.8558,1374.9538,0.0,0.0,0.0,0.853
0,melhoria,1,50,1424.0906,1374.9538,0.0,0.0,0.0,0.859
0,melhoria,1,51,1423.0359,1374.9538,0.0,0.0,0.0,0.882
0,melhoria,1,52,1422.8697,1374.9538,0.0,0.0,0.0,0.887
0,melhoria,1,53,1422.794,1374.9538,0.0,0.0,0.0,0.89
0,melhoria,1,54,1422.7112,1374.9538,0.0,0.0,0.0,0.902
0,melhoria,1,55,1422.6441,1374.9538,0.0,0.0,0.0,0.911
0,melhoria,1,56,1422.6189,1374.9538,0.0,0.0,0.0,0.95
0,melhoria,1,57,1422.2177,1374.9538,0.0,0.0,0.0,0.962
0,melhoria,1,58,1422.1975,1374.9538,0.0,0.0,0.0,0.963
0,melhoria,1,59,1421.7815,1374.9538,0.0,0.0,0.0,0.974
0,melhoria,1,60,1421.5045,1374.9538,0.0,0.0,0.0,0.999
0,melhoria,1,61,1309.2845,1262.7624,0.0,0.0,0.0,1.051
0,melhoria,1,62,1309.0881,1262.5232,0.0,0.0,0.0,1.08
0,melhoria,1,63,1308.8457,1262.5232,0.0,0.0,0.0,1.169
0,melhoria,1,64,1308.6476,1262.5232,0.0,0.0,0.0,1.181
0,melhoria,1,65,1308.577,1262.5232,0.0,0.0,0.0,1.239
0,melhoria,1,66,1308.4913,1262.5232,0.0,0.0,0.0,1.254
0,melhoria,1,67,1307.735,1262.5232,0.0,0.0,0.0,1.304
0,melhoria,1,68,1306.9333,1262.5232,0.0,0.0,0.0,1.347
0,melhoria,1,69,1306.3366,1262.5232,0.0,0.0,0.0,1.455
0,melhoria,1,70,1305.869,1262.5232,0.0,0.0,0.0,1.52
0,melhoria,1,71,1305.1266,1262.5232,0.0,0.0,0.0,1.624
0,melhoria,1,72,1304.5064,1262.5232,0.0,0.0,0.0,1.679
0,melhoria,1,73,1304.1899,1262.5232,0.0,0.0,0.0,1.751
0,melhoria,1,74,1303.6222,1262.5232,0.0,0.0,0.0,1.752
0,melhoria,1,75,1302.8739,1262.5232,0.0,0.0,0.0,1.798
0,melhoria,1,76,1302.6462,1262.5232,0.0,0.0,0.0,1.801
0,melhoria,1,77,1302.388,1262.5232,0.0,0.0,0.0,1.812
0,melhoria,1,78,1302.2473,1262.5232,0.0,0.0,0.0,1.816
0,melhoria,1,79,1302.1276,1262.5232,0.0,0.0,0.0,1.829
0,melhoria,1,80,1301.7904,1262.5232,0.0,0.0,0.0,1.832
0,melhoria,1,81,1301.7822,1262.5232,0.0,0.0,0.0,1.849
0,melhoria,1,82,1301.5248,1262.5232,0.0,0.0,0.0,1.891
0,melhoria,1,83,1301.431,1262.5232,0.0,0.0,0.0,1.892
0,melhoria,1,84,1301.3105,1262.5232,0.0,0.0,0.0,1.911
0,melhoria,1,85,1301.1988,1262.5232,0.0,0.0,0.0,1.914
0,melhoria,1,86,1300.958,1262.5232,0.0,0.0,0.0,1.915
0,melhoria,1,87,1300.7297,1262.5232,0.0,0.0,0.0,1.943
0,melhoria,1,88,1300.5195,1262.5232,0.0,0.0,0.0,1.957
0,melhoria,1,89,1300.4526,1262.5232,0.0,0.0,0.0,1.961
0,melhoria,1,90,1300.2423,1262.5232,0.0,0.0,0.0,1.979
0,melhoria,1,91,1300.0989,1262.5232,0.0,0.0,0.0,2.033
0,melhoria,1,92,1300.0041,1262.5232,0.0,0.0,0.0,2.041
0,melhoria,1,93,1299.8489,1262.5232,0.0,0.0,0.0,2.046
0,melhoria,1,94,1233.0101,1195.6992,0.0,0.0,0.0,2.061
0,melhoria,1,95,1221.1213,1183.8585,0.0,0.0,0.0,2.104
0,melhoria,1,96,1221.078,1183.7055,0.0,0.0,0.0,2.109
0,melhoria,1,97,1187.8449,1150.5232,0.0,0.0,0.0,2.168
0,melhoria,1,98,1187.8022,1150.5232,0.0,0.0,0.0,2.172
0,melhoria,1,99,1187.7598,1150.5232,0.0,0.0,0.0,2.191
0,melhoria,1,100,1148.9331,1111.704,0.0,0.0,0.0,2.236
0,melhoria,1,101,1148.5391,1111.1392,0.0,0.0,0.0,2.24
0,melhoria,1,102,1121.0253,1083.6992,0.0,0.0,0.0,2.25
0,melhoria,1,103,1120.9398,1083.6992,0.0,0.0,0.0,2.26
0,melhoria,1,104,1120.8542,1083.6992,0.0,0.0,0.0,2.281
0,melhoria,1,105,1120.8301,1083.6992,0.0,0.0,0.0,2.312
0,melhoria,1,106,1120.8295,1083.6992,0.0,0.0,0.0,2.36
0,melhoria,1,107,1108.8503,1071.7682,0.0,0.0,0.0,2.376
0,melhoria,1,108,1108.6339,1071.3565,0.0,0.0,0.0,2.466
0,melhoria,1,109,1108.5484,1071.3565,0.0,0.0,0.0,2.468
0,melhoria,1,110,1108.4735,1071.2154,0.0,0.0,0.0,2.546
0,melhoria,1,111,1108.4497,1071.2154,0.0,0.0,0.0,2.558
0,melhoria,1,112,1108.3342,1070.995,0.0,0.0,0.0,2.573
0,melhoria,1,113,1107.8591,1070.4113,0.0,0.0,0.0,2.631
0,melhoria,1,114,1107.8029,1070.2582,0.0,0.0,0.0,2.716
0,melhoria,1,115,1107.5998,1070.0669,0.0,0.0,0.0,2.788
0,melhoria,1,116,1107.4228,1069.8277,0.0,0.0,0.0,2.825
0,melhoria,2,118,1105.2773,1067.6749,0.0,0.0,0.0,2.955
0,melhoria,1,119,1105.1916,1067.6749,0.0,0.0,0.0,3.04
0,melhoria,1,120,1105.1487,1067.6749,0.0,0.0,0.0,3.078
0,melhoria,2,122,1105.147,1067.6749,0.0,0.0,0.0,3.217
0,melhoria,2,124,1103.7318,1066.2397,0.0,0.0,0.0,3.354
0,melhoria,2,126,1101.8435,1063.8477,0.0,0.0,0.0,3.489
0,melhoria,1,127,1101.7351,1063.8477,0.0,0.0,0.0,3.53
0,melhoria,1,128,1101.4054,1063.8477,0.0,0.0,0.0,3.539
0,melhoria,1,129,1101.1572,1063.8477,0.0,0.0,0.0,3.542
0,melhoria,1,130,1101.144,1063.8477,0.0,0.0,0.0,3.554
0,melhoria,1,131,1101.0917,1063.8477,0.0,0.0,0.0,3.569
0,melhoria,1,132,1100.7963,1063.8477,0.0,0.0,0.0,3.574
0,melhoria,1,133,1100.6479,1063.8477,0.0,0.0,0.0,3.609
0,melhoria,1,134,1100.4407,1063.8477,0.0,0.0,0.0,3.631
0,melhoria,1,135,1100.3978,1063.8477,0.0,0.0,0.0,3.683
0,melhoria,1,136,1100.3345,1063.8477,0.0,0.0,0.0,3.706
0,melhoria,1,137,1100.297,1063.8477,0.0,0.0,0.0,3.77
0,melhoria,1,138,1100.1114,1063.8477,0.0,0.0,0.0,3.851
0,melhoria,1,139,1100.009,1063.8477,0.0,0.0,0.0,3.875
0,melhoria,2,141,1099.941,1063.8477,0.0,0.0,0.0,4.011
0,melhoria,1,142,1099.9186,1063.8477,0.0,0.0,0.0,4.076
0,melhoria,2,144,1099.8748,1063.8477,0.0,0.0,0.0,4.203
0,melhoria,1,145,1099.832,1063.8477,0.0,0.0,0.0,4.273
0,melhoria,2,147,1099.3857,1063.4027,0.0,0.0,0.0,4.411
0,melhoria,1,148,1099.2329,1063.4027,0.0,0.0,0.0,4.504
0,melhoria,1,149,1099.1225,1063.2496,0.0,0.0,0.0,4.579
